doy,hod,A(Treg),A(TpDep),A(std),A(std2),E(Treg),E(TpDep),E(std),E(std2),gs(Treg),gs(TpDep),gs(std),gs(std2),gb(Treg),gb(TpDep),gb(std),gb(std2),gmin(Treg),gmin(TpDep),gmin(std),gmin(std2),Ci(Treg),Ci(TpDep),Ci(std),Ci(std2),Tleaf(Treg),Tleaf(TpDep),Tleaf(std),Tleaf(std2),Pleaf(Treg),Pleaf(TpDep),Pleaf(std),Pleaf(std2),Rublim(Treg),Rublim(TpDep),Rublim(std),Rublim(std2),Ps(Treg),Ps(TpDep),Ps(std),Ps(std2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
41,10.03333333,19.48751941639547,12.267951453724358,20.740279650312118,20.990441933202526,4.054853490975667,1.363092501005928,5.29265702166421,5.803176901422884,0.339816,0.1,0.46764504176776317,0.5254802025244824,4.64,4.64,4.64,4.64,,,,0.0015128221210984807,29.06943965032795,18.858131072613432,31.10342571796821,31.797916951895104,24.548298752722072,25.080343634140217,24.320575590138628,24.229387700937284,-1.2989483990173973,-0.589113925979636,-1.6396689460755227,-1.781635840683075,False,True,False,False,-0.22,-0.22,-0.22,-0.22
41,10.3,19.40210752125023,12.213939789676644,20.82236875003667,21.051224543156675,3.7409693776527697,1.2711480219436153,5.133515943357115,5.598157790256873,0.33682399999999996,0.1,0.4935546954108778,0.5516598250497536,4.64,4.64,4.64,4.64,,,,0.0015186332459339693,28.980478164846996,18.894419944813453,31.394647500944753,32.02977945153537,24.781309603157773,25.280198590810976,24.520320290942646,24.43610666122311,-1.1972858501925643,-0.5419265772088793,-1.5677063088355168,-1.710175716005883,False,True,False,False,-0.2,-0.2,-0.2,-0.2
41,10.46666667,19.29133195202867,12.143691294767855,20.717108591872737,20.96148712358235,3.8753984359642875,1.3284010329905842,5.271368542768849,5.763263113685187,0.33311799999999997,0.1,0.4825516640712058,0.5408493270065697,4.64,4.64,4.64,4.64,,,,0.0015236723721229115,28.83743744099344,18.910824510650826,31.181832102848826,31.83994463093221,24.96654027469124,25.475363525894544,24.707696397646025,24.61950088999328,-1.2257797316266374,-0.5419265772088793,-1.6246940717036633,-1.7671634788740296,False,True,False,False,-0.2,-0.2,-0.2,-0.2
41,10.65,19.298550817802937,12.155118627989076,20.535358680414635,20.81315110690477,4.172786733424781,1.429872105509185,5.3249946646075985,5.749669682440104,0.33233599999999996,0.1,0.44449075404402527,0.49839181014521755,4.64,4.64,4.64,4.64,,,,0.0015216364132085462,28.854562683293388,18.934921055730427,30.70903163705003,31.403629035688564,24.952598236021228,25.489521311890265,24.74228506455151,24.664364598968813,-1.351462380953983,-0.617154126984661,-1.6903738827859778,-1.8033443833966427,False,True,False,False,-0.25,-0.25,-0.25,-0.25
41,10.8,19.184541950068066,12.072775250573615,20.527675649953316,20.8038170223837,3.918817696717922,1.3523859729579681,5.14601588496283,5.658117709890987,0.330466,0.1,0.45795227433227575,0.5164257870918163,4.64,4.64,4.64,4.64,,,,0.001528263112035066,28.691241604068715,18.89882208421602,30.758925693992456,31.474244495253355,25.105447935693253,25.61593586593613,24.878188577872777,24.786171381466033,-1.2949771306486506,-0.617154126984661,-1.6338886324806452,-1.7751017582439765,False,True,False,False,-0.25,-0.25,-0.25,-0.25
41,12.93333333,16.81927482909877,11.26684933213999,18.667114183269604,19.120403364468462,4.493527258214723,1.8299229626648439,6.244944209022343,7.110900461486258,0.25671999999999995,0.1,0.3682485176366635,0.42573241584625693,9.29,9.29,9.29,9.29,,,,0.0016324315562336498,27.760724857364067,20.345508542254766,30.091052640147886,31.004483642283663,28.620719485953398,28.8634063310487,28.467447395277034,28.393559761820352,-1.4361902564119817,-0.7301246275953259,-1.9445575091599738,-2.226983760686636,True,True,False,False,-0.25,-0.25,-0.25,-0.25
41,13.06666667,16.234531409495126,10.858627608633137,17.647771765424253,18.29888741649792,5.508860245439943,2.4201424425695754,6.801441305852068,7.827937747270201,0.2500899999999999,0.1,0.3175188218860729,0.37609164397542866,4.64,4.64,4.64,4.64,,,,0.001655091893447398,28.012296914643073,21.19892958439257,29.42026354048374,30.50701601469136,29.497471117074838,30.053538381937376,29.279388944731735,29.111329611200745,-1.7468591330913101,-0.871337753358657,-2.1422558852286375,-2.481167387060632,True,True,False,False,-0.25,-0.25,-0.25,-0.25
41,13.21666667,16.09840232116712,10.81174828180881,17.654821640195255,18.28771102342189,5.591983209651736,2.482178281885937,7.097857743258933,8.14334436240204,0.24711499999999992,0.1,0.32434713323912917,0.382949589503099,4.64,4.64,4.64,4.64,,,,0.0016585346914901047,28.040183813000294,21.335096323428253,29.663910987782582,30.711900401492326,29.65216788853697,30.209660385896896,29.399597016566698,29.230070417847273,-1.710175716005883,-0.8553592729836852,-2.1660778189510554,-2.5080043961599348,True,True,False,False,-0.2,-0.2,-0.2,-0.2
41,13.35,15.908969947865442,10.704678617685897,17.444761225762946,18.095633505525118,5.649372814553405,2.5267739630602644,7.127304521662667,8.194261172989595,0.24494749999999998,0.1,0.31927299205515486,0.37777825044557384,4.64,4.64,4.64,4.64,,,,0.0016618094527280003,27.890136673435812,21.32150254849178,29.449853578242166,30.507322525411098,29.762554248681653,30.32056276606329,29.515205627148553,29.342525363153708,-1.710175716005883,-0.8553592729836852,-2.1660778189510554,-2.536498277594008,True,True,False,False,-0.2,-0.2,-0.2,-0.2
41,13.56666667,16.485957887809093,11.096950542712383,17.801231940333594,18.524445188525842,6.339491830432105,2.756816874368238,7.429282906257323,8.642883360056098,0.24970749999999992,0.1,0.30168128732439503,0.3613958172663232,4.64,4.64,4.64,4.64,,,,0.0016504811548746082,28.43775748876991,21.459281249758106,29.512196961259978,30.72721855927076,29.351188956891146,29.97785488743802,29.170816772508687,28.976251928269726,-1.9519961142121378,-0.9582278519592718,-2.2927166612702634,-2.71861734509292,True,True,False,False,-0.22,-0.22,-0.22,-0.22
41,13.7,16.332236625466464,10.972678314317804,17.791409705617944,18.440105647611365,5.631712104990945,2.48731974482987,7.010087963216265,8.069638487308579,0.24847499999999995,0.1,0.31864135462258864,0.3775566360034322,4.64,4.64,4.64,4.64,,,,0.0016564908604561291,28.330540685524912,21.471531702573973,29.82565407046249,30.922629685018478,29.564930320126628,30.128074225288273,29.33366650158255,29.16143773885335,-1.7532424617615645,-0.8730477151947404,-2.150749766662711,-2.519863692642347,True,True,False,False,-0.22,-0.22,-0.22,-0.22
