doy,hod,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(obs),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps(obs),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[-],[-],[-],[MPa],[MPa],[MPa]
20,11.23333333,23.097732214615725,18.45627472705044,17.172752068208986,49.89992858332795,7.020212934384521,5.46850091530258,10,0.31372983206923555,0.23649398270460414,4.64,4.64,4.64,38.09045074087197,29.271652393874877,27.10371912801192,24.82620873132528,28.63891924126457,28.899564298215175,-9.296032738923701,-3.7807133886202116,-3.185535041465158,False,False,True,-1.4,-1.4,-1.4
20,11.38333333,23.031146074179983,17.307580823834833,16.616498893795864,55.48390855873282,7.041452317793437,6.147059363373852,10,0.2823116826479118,0.2423972961424732,4.64,4.64,4.64,38.21478774363797,29.03029022312622,27.902067011536648,25.655784820055644,29.792662855706208,29.94100577335417,-9.296032738923701,-3.518964151350005,-3.193495498528952,False,True,True,-1.2,-1.2,-1.2
20,11.46666667,23.052547299137892,17.785280724171724,16.797417036014227,52.312601346164804,7.032403310478699,5.806468135630169,10,0.29723007832652953,0.23944648134923305,4.64,4.64,4.64,38.07602090512352,29.11151702064292,27.48707680519863,25.394597331865416,29.333864554408784,29.538484498057702,-9.296032738923701,-3.518964151350005,-3.0714447537210567,False,False,True,-1.2,-1.2,-1.2
20,13.45,23.235098572846574,14.605039826491343,14.043003382226427,72.55117882931424,7.095963968392563,6.458832558996115,10,0.21132162665769919,0.1899236622438393,4.64,4.64,4.64,38.56062848979267,28.236551859923168,27.498211228269227,26.53986917388894,31.842317080903516,31.949075257761947,-9.296032738923701,-3.670683073349238,-3.4295966591103326,False,True,True,-1.3,-1.3,-1.3
20,13.55,22.93253966257931,14.569609937746163,13.894058261501538,63.98739530980346,6.667817704488749,5.915232479241721,10,0.22241232769052227,0.1942270101018506,4.64,4.64,4.64,38.384268322224,28.611320287698216,27.682009361379414,27.23018445775814,32.00061522812279,32.12876303478005,-9.296032738923701,-3.5099587971899675,-3.2286913139112445,False,True,True,-1.3,-1.3,-1.3
20,13.68333333,22.967373008643087,13.98812042696493,13.585401850337558,69.03784204262875,6.657545332215443,6.220548401987238,10,0.20547168525490586,0.19014708231040423,4.64,4.64,4.64,38.60094135782499,28.440919806082345,27.923739675998775,27.279296915430507,32.3629895665888,32.4369749718201,-9.296032738923701,-3.6219991627121972,-3.463284936804183,False,True,True,-1.4,-1.4,-1.4
20,13.75,22.372354327872543,13.37872970420858,13.273911607417471,61.611483359881056,6.106032317189512,6.009191917494742,10,0.20715406487512705,0.20338995181038497,4.64,4.64,4.64,38.2803411036644,28.65568572544517,28.544976546907108,28.22069308339653,32.85245143600826,32.869107504883026,-9.296032738923701,-3.4236063803271795,-3.383927823850176,False,True,True,-1.4,-1.4,-1.4
20,13.93333333,22.67979279193771,13.661800344450464,13.560904844505567,64.94930914898039,6.356799181401455,6.259195176291128,10,0.20630709518723148,0.20261932545068426,4.64,4.64,4.64,38.598927333735226,28.724404398977658,28.625297590933226,27.858275469291716,32.686865924155924,32.70352921374952,-9.296032738923701,-3.2748626617342147,-3.2341790801315833,False,True,True,-1.2,-1.2,-1.2
20,14.0,22.361620920732374,13.449767873564781,13.491664984106675,60.6095228397893,6.0831454836509655,6.147059363373852,10,0.20949298929024604,0.21205328543029775,4.64,4.64,4.64,38.46642861947953,28.898836617035343,28.99200194013372,28.320117647263373,32.884477980066755,32.8734770964887,-9.296032738923701,-3.1528119169263205,-3.193495498528952,False,True,True,-1.2,-1.2,-1.2
20,15.85,21.698342214724263,9.531153199743926,10.109316250409226,82.55268532906526,5.256326992662366,6.134820497966967,10,0.12989738395361794,0.15307788445522882,4.64,4.64,4.64,38.64955918427774,27.74175590929257,28.872113823973976,29.25247530636664,35.16318892978693,35.013790378690466,-9.296032738923701,-2.987604899672339,-3.30905345199088,False,True,True,-1.3,-1.3,-1.3
20,15.93333333,21.51955062894654,9.26742117961663,9.92768605190055,82.45265054266413,5.146249135791797,6.134820497966967,10,0.12691597655967551,0.1530447151043647,4.64,4.64,4.64,38.46963455891612,27.617000772080246,28.896048963063635,29.396495022077474,35.30566876043134,35.13725701985772,-9.296032738923701,-2.9474238306325216,-3.30905345199088,False,True,True,-1.3,-1.3,-1.3
20,16.11666667,22.11356628307539,8.505978287908668,9.36025783293915,96.96940373566406,5.040264367672381,6.220548401987238,10,0.10603029560790905,0.13293794070675244,4.64,4.64,4.64,38.49507499017194,26.614857873502135,28.079550036036174,28.674315219327305,35.4789446010503,35.27929770982847,-9.296032738923701,-3.0268208155571443,-3.463284936804183,False,True,True,-1.4,-1.4,-1.4
20,16.21666667,22.50621198406265,8.060456259672126,8.764313753950173,109.24836398648748,5.119401424078068,6.115230064718693,10,0.09624365034918089,0.1163029319858874,4.64,4.64,4.64,38.6967167990877,26.2917370154125,27.53691304628275,28.18554549695295,35.69102747428896,35.523586192335564,-9.296032738923701,-3.066499372034148,-3.4236063803271795,False,True,True,-1.4,-1.4,-1.4
20,16.85,22.113240651261382,7.713865952717223,9.073419242438842,105.25293372653461,4.846071742488331,6.808982221322903,10,0.09372538759540545,0.13519280916837847,4.64,4.64,4.64,38.550467915907525,26.366183273225023,28.680727705782992,28.69447326685731,35.96487017882312,35.63525229790138,-9.296032738923701,-2.7459761009000037,-3.437596988144742,False,True,True,-1.2,-1.2,-1.2
20,18.66666667,20.577517982682885,7.814418594598228,8.738571434256384,101.07929350532316,4.776079584414878,6.134820497966967,10,0.09827521820061762,0.12833908956672366,4.64,4.64,4.64,38.607102314479455,26.764958207955175,28.52637357972774,29.482584358851746,35.99816081995589,35.77716646392371,-9.296032738923701,-2.826880623513069,-3.30905345199088,False,True,True,-1.3,-1.3,-1.3
20,18.73333333,21.048069004613083,8.044714877285763,9.152226496159894,106.79130277147289,5.023768767312054,6.671158079169043,10,0.09857598779200302,0.13353362244614225,4.64,4.64,4.64,38.88565911568036,26.730314600130527,28.73405171439103,28.983818632624722,35.81896967056317,35.55330091741863,-9.296032738923701,-2.9072427615927037,-3.5099587971899675,False,True,True,-1.3,-1.3,-1.3
