site_spp,A(std),A(pmax),E(std),E(pmax),gs(std),gs(pmax),gb(std),gb(pmax),Ci(std),Ci(pmax),Tleaf(std),Tleaf(pmax),Pleaf(std),Pleaf(pmax),Rublim(std),Rublim(pmax),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Tleaf,Pleaf
Corrigin_Eucalyptus_capillosa,1.1012886274587683,2.46513063260884,0.5296772459595116,1.900415734860605,0.0082798988642534,0.0299884368795736,2.84,2.84,15.824335146852995,23.54354533646377,37.59827187229125,37.56577588292436,-3.9446628445843,-4.373484848173474,False,False,-3.8,200.0,37.65,6.28,97.6,36.2561115,45,17.6666666666667,0.367,0.429,23.811375,0.00644,2.84,38.3,
Corrigin_Eucalyptus_capillosa,0.793913324108126,2.03024101442071,0.3826326122063466,1.7666511270155851,0.0059590222265001,0.0277757136881582,2.84,2.84,15.823863511790972,24.97704661493112,37.75205198627252,37.71921676829752,-3.9033306032745,-4.326986076699948,False,False,-3.8,151.0,37.81,6.3,97.59,36.27333675,45,17.6666666666667,0.664,0.615,21.4809,0.0092,2.84,38.35,
Corrigin_Eucalyptus_capillosa,0.4881336083921426,2.234956745282485,0.2283197332492791,1.497031234420719,0.0032707430823223,0.0216178142755507,2.84,2.84,13.367638760687452,20.308957495567856,38.126536472999184,38.096410313736286,-4.483297214292864,-5.037223689340408,True,True,-4.4,978.0,38.02,6.78,97.56,36.25104525,45,17.6666666666667,0.262,0.495,26.445825,0.00687,2.84,39.61,
Corrigin_Eucalyptus_capillosa,0.4699640250082167,2.2177701546637607,0.2201598956789791,1.497031234420719,0.0031337776048616,0.0214803040376214,2.84,2.84,13.40294307564035,20.478268385512827,38.23316202263956,38.20283281319969,-4.479132353578221,-5.037223689340408,True,True,-4.4,1158.0,38.09,6.81,97.56,36.39695325,45,17.6666666666667,0.7340000000000001,1.17,25.432575,0.0161,2.84,39.8,
Richmond_Eucalyptus_cladocalyx,14.403532299149257,14.349711817555802,2.358297653695946,2.198741360876597,0.3970227702033662,0.367917876952329,4.64,4.64,33.132854240056425,32.70296067346052,18.47043999240636,18.472031803736797,-2.034193323273462,-1.98079744521721,False,False,-1.3,499.75,18.4625,0.64825,100.7,39.29206181,20,8.8,14.3,2.31,32.3733375,0.38075,4.64,19.625,-1.9
Richmond_Eucalyptus_cladocalyx,14.4132598082122,14.387961529919927,2.3610817355873706,2.2831382753736444,0.3960442344106166,0.3818458734153347,4.64,4.64,33.179618383396694,32.97585271674521,18.465413902424604,18.466191337338817,-2.034193323273462,-2.007495384245336,False,False,-1.3,500.0,18.4575,0.6505,100.7,39.35716313,20,8.9,14.325,2.31,32.44933125,0.37925,4.64,19.8625,-2.0
Richmond_Eucalyptus_cladocalyx,14.294286450034315,14.16401587028021,2.8810403536733147,2.5306590269637472,0.3357107761983729,0.2921453954911305,4.64,4.64,32.43728688411562,31.506906451005523,19.71136111181303,19.71503987623864,-2.309559697805902,-2.1909214763529583,False,False,-1.4,500.0,19.71,0.9265,100.7,39.58945069,20,9.08333333333333,9.275,1.12,26.52181875,0.1225,4.64,21.675,-2.5
Richmond_Eucalyptus_cladocalyx,14.349556275438486,14.24568952722764,2.697057985234188,2.407368499473568,0.3586416568494739,0.3173265873312625,4.64,4.64,32.493939556863644,31.72565432943908,19.098905339339872,19.101873073451383,-2.243649574776489,-2.1513754025353102,False,False,-1.4,501.75,19.095,0.81525,100.7,39.24165263,20,9.15,15.075,2.075,29.080275,0.26525,4.64,21.005,-2.5
Richmond_Eucalyptus_cladocalyx,14.054360522247844,13.974425040893156,3.178887691322024,2.9629251728481685,0.3105821610340893,0.2880747803089841,4.64,4.64,31.814218114269934,31.303294968769503,21.62025471005049,21.622685048058507,-2.1866617528237566,-2.1190821807125406,False,False,-1.2,500.25,21.6225,1.1,100.7,39.38198775,20,9.31666666666667,12.925,3.4025,31.94270625,0.32625,4.64,23.29,-2.6
Richmond_Eucalyptus_cladocalyx,13.983142379047996,13.95201770157398,3.1757159947619256,3.0896712034672773,0.3087496932821477,0.2998081842238957,4.64,4.64,31.768749509746776,31.57188652308399,22.02288467904782,22.02386599237247,-2.1866617528237566,-2.1596299239792702,False,False,-1.2,499.5,22.025,1.105,100.7,39.3404445,20,9.4,12.65,3.8825,32.8293,0.37325,4.64,23.485,-2.5
Richmond_Eucalyptus_cladocalyx,19.741292429268587,18.58097722105092,6.711365110129379,5.109523337001705,0.3374713027917516,0.2520339587438286,4.64,4.64,29.461102853585118,27.094685514539783,26.811795765661717,26.832555893227923,-3.5292779088485107,-2.941923250229742,False,False,-1.3,1801.5,26.7225,2.1275,100.6,39.28547569,20,10.8666666666667,14.225,3.47,23.7607125,0.1639999999999999,4.64,31.0,-2.95
