doy,hod,A(obs),E(obs),gs(obs),gb(obs),Ci(obs),Tleaf(obs),Pleaf(obs),Rublim(obs),Ps(obs)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
20,15.45,1.3841328656714815,0.5869787299863882,0.009465000000000001,4.64,16.438976425943963,35.34665772606886,-1.2485023961691661,True,-1.08
20,15.61666667,1.1592236094109702,0.5003434103947055,0.007975,4.64,16.57820672594027,35.419729364846056,-1.4668929368456456,True,-1.33
20,17.76666667,1.5714504153384279,0.6795176974640511,0.01075,4.64,16.36845798154733,35.19170463332389,-1.5125239157941943,True,-1.33
20,17.83333333,2.05595508536477,0.8743232539563252,0.014325,4.64,16.771170885704276,35.39130477077635,-1.580970384217017,True,-1.33
20,17.98333333,1.6060620957871359,0.6895794061706707,0.01105,4.64,16.54111398488876,35.4318877088664,-1.2725741670504758,True,-1.08
20,18.05,1.4490527974955212,0.6107466009752883,0.009945,4.64,16.537280632635778,35.45852009070001,-1.2485023961691661,True,-1.08
20,18.21666667,1.262611954697793,0.514943276113871,0.00864,4.64,16.49669428826316,35.31466703231511,-1.3408125348355953,True,-1.2
20,18.28333333,2.9273439655947024,1.2049485756511729,0.02105,4.64,17.505319740844577,35.17451584778002,-1.5285625812830559,True,-1.2
20,19.58333333,1.9293722658179435,0.589106423016655,0.015119999999999998,4.64,19.292588422100916,32.61165393806582,-1.3642812906415278,False,-1.2
20,19.63333333,2.1356344234748956,0.7281675705816938,0.014459999999999999,4.64,16.076928876697064,34.41562118070339,-1.2725741670504758,True,-1.08
41,10.03333333,19.361872192234088,3.942074788378055,0.3286,4.64,28.822176088643715,24.569636081661823,-1.2705550200958868,False,-0.22
41,10.3,21.08187586787497,6.101435599050717,0.6238,4.64,32.72422760299692,24.34528741592434,-1.8526451231762493,False,-0.2
41,10.46666667,21.10376191737318,6.561894785867566,0.6474,4.64,32.81731005354942,24.478737085652337,-1.9951145303466158,False,-0.2
41,10.65,20.09540801135879,5.064686974406975,0.4202,4.64,30.46364981178499,24.78844504566771,-1.605646007327979,False,-0.25
41,10.8,20.562930842856716,5.616021793251835,0.5154,4.64,31.54353067431502,24.79263398034457,-1.7751017582439765,False,-0.25
41,12.93333333,19.70360033697018,9.353784379582082,0.58225,9.29,32.75900700151836,28.20799061161519,-3.074262515266623,False,-0.25
41,13.06666667,17.69391833387106,7.235466986291728,0.345,4.64,30.136774177098996,29.20685177613628,-2.2834690109919684,False,-0.25
41,13.21666667,16.56018910840698,6.068819628978821,0.27175,4.64,28.69562221980894,29.57077721440231,-1.8526451231762493,True,-0.2
41,13.35,17.57696361378416,7.717418724853057,0.354,4.64,30.2736900617451,29.418343889447744,-2.3655349889895683,False,-0.2
41,13.56666667,11.29900920017252,2.841078582739365,0.10325,4.64,21.69689307511513,29.96250605144129,-0.9582278519592718,True,-0.22
41,13.7,13.435481495043254,3.609417334764579,0.14925,4.64,24.52447368865144,29.9223070279999,-1.1853748833313555,True,-0.22
41,15.75,12.294448351431846,3.899687496218542,0.127,4.64,23.496212328710183,30.33915270531524,-1.2421616411743763,True,-0.22
41,15.83333333,11.818953446828862,3.4985301825098283,0.12075,4.64,23.402485460976024,30.719467115462734,-1.156981504409845,True,-0.22
41,16.0,12.055548479698285,3.7298802047089845,0.13125,4.64,23.90492220008541,30.849937432198736,-1.1972858501925643,True,-0.2
41,16.08333333,9.786507105337739,2.7090934648405898,0.088225,4.64,21.117410801684088,31.05336286394267,-0.9123470358518317,True,-0.2
41,16.21666667,15.687177722906156,6.4172108457615735,0.276,4.64,29.00233598537359,30.597192729615102,-2.0010427594653066,True,-0.25
41,16.28333333,12.709951928016185,4.281951808059571,0.1505,4.64,24.98195447312888,30.921939586420514,-1.3797050061066491,True,-0.25
57,7.916666667,12.013926017030338,0.9517127739532694,0.18025,4.64,27.978837377128976,15.087365411525345,-0.504183626373996,False,-0.25
57,7.983333332999999,12.119008248650845,0.9668864787614098,0.192,4.64,28.62117584801764,15.071079190200606,-0.504183626373996,False,-0.25
57,8.633333333,12.543159843499511,1.6937393582960545,0.3154,4.64,32.16149552400595,15.269255297713046,-1.0044964868918085,False,-0.55
57,11.08333333,17.23833181658317,3.6613127992027854,0.2545,4.64,27.336951397566196,21.51044324845157,-1.5391982361762888,False,-0.55
57,11.18333333,17.80442829805797,4.258845190279278,0.31475,4.64,28.9324315919012,21.521504379855834,-1.699608760961633,False,-0.55
57,11.43333333,18.723185475020763,5.335804706496183,0.508,4.64,32.06598682871167,21.434138288913374,-1.9842489060097082,False,-0.5
57,11.55,18.280074724801146,4.590881747190842,0.3855,4.64,30.482431206164957,21.561079112882272,-1.464432881564648,False,-0.25
57,11.63333333,18.52361524180544,4.8829851836501765,0.45175,4.64,31.326193717585404,21.413961760883808,-1.5491607570226467,False,-0.25
57,13.45,20.585484991492393,7.792920608428072,0.52525,4.64,31.572282003949645,24.761443163252515,-2.452924761907966,False,-0.25
57,13.51666667,20.65538937169755,7.744131581936508,0.53875,4.64,31.685325028416564,24.557726024495246,-2.452924761907966,False,-0.25
57,13.63333333,20.603847116499963,7.681587926895737,0.51375,4.64,31.60633252814051,24.651595444980266,-2.7668528746330088,False,-0.5
57,13.7,20.277640867988307,7.1058749066199525,0.46525,4.64,30.850929840932878,24.757376493357082,-2.55096212466796,False,-0.5
57,13.83333333,18.66289622664803,5.6335229265608335,0.29125,4.64,27.72551289897465,25.12322949750337,-2.1273701603892174,False,-0.55
57,13.9,20.235214447256126,7.05296488775946,0.4495,4.64,30.78106789907147,24.7808450089913,-2.6086017347452497,False,-0.55
57,15.28333333,16.67269419284635,4.5473171777320465,0.212,4.64,25.324382912733093,25.86576000645316,-1.779814023354305,True,-0.55
57,15.35,18.22272150429907,5.467971668204408,0.29075,4.64,27.88949559139315,25.61110461644404,-2.0738999854607694,False,-0.55
57,15.46666667,19.663740257720924,7.120853849734315,0.45299999999999996,4.64,30.780357067181225,25.329474514847984,-2.226983760686636,False,-0.25
57,15.51666667,18.833450186535245,5.835268086674375,0.33299999999999996,4.64,29.04848035945601,25.471336958187667,-2.1191806247378633,False,-0.5
57,15.61666667,19.363274258331515,6.926208632374913,0.39899999999999997,4.64,30.179190335246833,25.44372431949214,-2.1704985103813037,False,-0.25
57,15.68333333,20.022074194892966,7.808092399959747,0.5285,4.64,31.63713071242271,25.264275515453072,-2.452924761907966,False,-0.25
77,9.583333332999999,17.037283659416836,1.7167796350184426,0.2595,4.64,28.15270212960253,17.794174063646356,-1.095953773323969,False,-0.65
77,9.683333333,17.663476977716684,2.1016928662454712,0.34425,4.64,30.341122739204057,17.884173370103472,-1.2008840729296089,False,-0.65
77,9.783333333,17.147546652348318,1.7430887213618687,0.2675,4.64,28.349914605659123,18.0528391096559,-1.0502251301078886,False,-0.6
77,9.866666667,17.32687057650476,1.8590165798270024,0.29025,4.64,28.8860471298768,18.14254129975755,-1.1031927924735228,False,-0.6
