doy,hod,A(obs),E(obs),gs(obs),gb(obs),Ci(obs),Tleaf(obs),Pleaf(obs),Rublim(obs),Ps(obs)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
57,8.616666667,13.495998960885416,2.7242411797473562,0.59075,4.64,35.115712306187824,16.12383032496778,-0.9150462900481556,False,-0.25
57,8.733333333,11.902591078464724,1.28634945626197,0.1955,4.64,29.144319291704956,22.321022132215443,-0.5581921831930478,False,-0.25
57,10.96666667,21.169222607220775,6.153511188611582,0.59675,4.64,32.0514311928467,21.493372204493735,-1.8491682015932709,False,-0.3
57,11.06666667,21.154718025973313,5.479219525330109,0.56275,4.64,32.0696906566025,21.313767963074206,-1.6716593451607087,False,-0.3
57,11.2,21.30971049418053,5.604961708835347,0.60475,4.64,32.685354758098995,21.31512799881781,-1.4405806071119749,False,-0.05
57,11.28333333,21.183386446425047,5.595037242743088,0.56075,4.64,32.20753288671574,21.349712790615982,-1.4405806071119749,False,-0.05
57,11.45,21.114233076380735,5.4158121044927565,0.54925,4.64,31.879729855772148,21.53469774247533,-1.596313221316998,False,-0.25
57,11.51666667,21.15308161862507,5.193791384082621,0.5555,4.64,32.07267765899389,21.30480148884738,-1.547651297654938,False,-0.25
57,13.41666667,24.10760606195689,7.423656688896235,0.64925,4.64,31.547428431472806,24.239614748984643,-2.1880487456917987,False,-0.3
57,13.5,23.87527768787266,6.8517471126467155,0.58125,4.64,31.02322593819566,24.12849988865614,-2.0428142267924296,False,-0.3
57,13.63333333,22.36539446837912,5.1391646283191665,0.3595,4.64,28.179397029282068,24.235285832899315,-1.3246988898526437,False,-0.05
57,13.7,23.653490521478638,6.202787765534667,0.49125,4.64,30.66529061136637,24.230905891394286,-1.5895713864454009,False,-0.05
57,13.85,24.17831027287968,7.066016021126798,0.64425,4.64,31.718970345928277,24.143925947279264,-2.0342705342755396,False,-0.25
57,13.91666667,23.835828181733984,6.614631896344145,0.5625,4.64,30.96440006498251,24.151368679287007,-1.9207260457307325,False,-0.25
57,15.25,23.61000569272424,8.15159796438795,0.74975,4.64,32.65998203040707,25.2571844468967,-2.8811838678764277,False,-0.7
57,15.35,23.40675098132066,7.580640600403959,0.648333333,4.64,32.05690478890099,25.06841857143723,-2.2364602519915886,False,-0.3
57,15.41666667,23.455791136740785,7.902601296837527,0.68325,4.64,32.16019661520014,25.046729832561667,-2.333283264591168,False,-0.3
57,15.53333333,22.448937126504084,6.305468211006581,0.4395,4.64,30.024197265703993,25.202427388533945,-1.6226804485194954,False,-0.05
57,15.61666667,23.027622932564096,7.170300319540659,0.5615,4.64,31.226579683667204,25.172778875671273,-1.854443883038158,False,-0.05
57,15.73333333,22.803984711575954,7.123005026604292,0.52075,4.64,30.84033119137382,25.345363878711154,-2.0504911754962265,False,-0.25
57,15.85,23.582298227253354,8.668477954989736,0.69075,4.64,32.68337988529731,25.329191291495306,-2.4884484884547677,False,-0.25
77,9.216666667,20.45863539643097,4.187492153453831,0.59,4.64,32.743884145130494,16.877671569358636,-1.3934902603129173,False,-0.35
77,9.266666667,20.478700922656056,3.873026773320063,0.564,4.64,32.460997671931594,17.126316547041444,-1.3132217787503855,False,-0.35
77,9.433333333,20.53825431572719,3.988515345899992,0.54725,4.64,32.37319106897168,17.373007739803164,-1.3901538792218089,False,-0.4
77,9.5,20.723031454548163,4.281488994319164,0.65825,4.64,33.28186614384968,17.330587213472793,-1.47000499851389,False,-0.4
77,9.633333333,20.642647867689817,3.8409384163394322,0.56925,4.64,32.50633325743666,17.66520553119063,-1.3582134315049763,False,-0.4
77,9.716666667,20.423210438302362,3.5402027110472036,0.487,4.64,31.69801057736678,17.537629125742253,-1.2783623122128949,False,-0.4
77,11.23333333,23.78221205005038,5.687099111066301,0.57375,4.64,31.192647353179392,21.404165693839552,-1.7787789718130718,False,-0.35
77,11.3,23.443445800131965,5.248191294532307,0.5045,4.64,30.432858796755404,21.295585938963914,-1.6664030976255266,False,-0.35
77,11.4,23.120112753813686,4.981143448662478,0.44675,4.64,29.650441201418488,21.40596711534663,-1.645677460956469,False,-0.4
77,11.46666667,22.652133715478794,4.379944795923604,0.3805,4.64,28.633033696744704,21.520619261685656,-1.4859752223723066,False,-0.4
77,11.58333333,23.904390260400938,5.695343253957553,0.58025,4.64,31.42299609180172,21.624805572167073,-1.8373201472574645,False,-0.4
77,11.65,24.323958013678574,6.7061435041756345,0.72975,4.64,32.499892345225035,21.613837184445998,-2.108813952850541,False,-0.4
77,13.9,18.434036833062518,5.182542653238225,0.2725,4.64,27.22804008331523,29.62002986467323,-1.6503494013130204,True,-0.35
77,14.01666667,15.461905452569237,3.611210908567011,0.1645,4.64,23.64302478425892,29.739450238287475,-1.2490069935003598,True,-0.35
77,14.2,15.694517261999987,3.8866112764907634,0.17125,4.64,24.15154233115514,29.902999530530128,-1.3741836553633924,True,-0.4
77,14.26666667,16.53977181408075,4.439149949191143,0.197,4.64,25.11952153578313,29.86795437840502,-1.5019454462307227,True,-0.4
77,14.38333333,18.01926762685782,5.4590096157689,0.25625,4.64,27.120912914002794,29.89986029438028,-1.7734392518237994,True,-0.4
