doy,hod,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(obs),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps(obs),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[-],[-],[-],[MPa],[MPa],[MPa]
20,15.03333333,7.489084861422244,8.227914092506683,12.258177446711809,3.1803659900004093,3.388797943127667,7.7993049006191635,0.081125,0.08782658518902285,0.22047949644201376,4.64,4.64,4.64,24.954040690211308,24.74250295372952,30.569349023640328,36.01474284931438,35.97611513509933,35.21643251599837,-1.6745776564896695,-1.7203875262946513,-2.9572540110291556,True,True,True,-0.85,-0.85,-0.85
20,15.15,5.786964786397271,9.532934219846108,12.292505952319821,2.060927554043393,4.130370302818814,7.0443668196165845,0.0496,0.10471779020287224,0.1876586866789192,4.64,4.64,4.64,21.336237290294196,25.20577393845919,29.17161632729531,35.705983661891985,35.33115646763919,34.83167074108476,-1.353908567854798,-1.9036270055145779,-2.7282046620042477,True,True,True,-0.85,-0.85,-0.85
20,15.53333333,5.6188651946235595,7.08505517608691,11.545160383767564,2.1769360055036047,2.7793715085620603,6.682404733176034,0.04735,0.061500221631705,0.15775716199753712,4.64,4.64,4.64,21.082020654701047,21.59215699742044,28.031090530283212,35.709529267548014,35.60036681082255,34.92453703673407,-1.782010719525063,-1.9140131932616158,-3.0580346323117418,True,True,True,-1.21,-1.21,-1.21
20,15.63333333,5.3760189033490136,7.143209584425855,11.824158220172585,1.9625057902983178,2.7003456735202325,6.821750531917263,0.04485,0.06300815717635455,0.17120215366570868,4.64,4.64,4.64,20.83025092557081,21.807064528092887,28.598415525700556,35.78211595910051,35.64719310596163,34.930660013497715,-1.694009070367361,-1.9140131932616158,-3.102035456890593,True,True,True,-1.21,-1.21,-1.21
20,17.75,7.2976659172630995,5.741081680563182,10.09832289086232,4.1812585583086594,2.6617979885681415,6.821750531917263,0.075175,0.04712491619930242,0.1276976971759999,4.64,4.64,4.64,24.272185475500905,20.442619221760754,26.99291395927286,35.89942935585883,36.16377263518363,35.454626570990925,-2.310020614471275,-1.9140131932616158,-3.102035456890593,True,True,True,-1.21,-1.21,-1.21
20,18.08333333,4.423952258538208,6.891627960633492,10.348815461659163,2.092689180363948,3.588812456110045,7.498413379397339,0.0358,0.0629856069781521,0.13800502312676521,4.64,4.64,4.64,20.473779637537145,22.601047205406168,27.89735498167045,36.400323670735986,36.14652480309407,35.51365699601311,-1.4936882869060109,-1.8561471448433515,-2.988831075897541,True,True,True,-0.95,-0.95,-0.95
20,18.16666667,5.519660652492649,6.821896815139171,10.492393144522001,2.8439906088911626,3.5613347240065787,7.787685944282503,0.049175,0.06253851480335243,0.1440175966878131,4.64,4.64,4.64,22.10744866621722,22.54255023587893,28.133694353440582,36.29773193934379,36.17669002330952,35.49421843527909,-1.674917715874681,-1.8561471448433515,-3.079445790381876,True,True,True,-0.95,-0.95,-0.95
20,18.31666667,7.082790017209353,5.89296982232848,10.384600932363194,3.8953604339237913,2.6721337709699715,7.233258728461366,0.073275,0.049719383485358204,0.14301531686003005,4.64,4.64,4.64,24.421966771644747,20.993807653577804,28.0746139808129,36.08286127719102,36.28938672199385,35.541649482239954,-2.222018965313573,-1.9140131932616158,-3.234037930627146,True,True,True,-1.21,-1.21,-1.21
20,18.45,7.517141916121801,5.760088321236939,9.906593605762096,4.462314087122126,2.6897154400445458,6.821750531917263,0.081125,0.04802637915216302,0.12834836491983295,4.64,4.64,4.64,25.03161914812899,20.77019255978593,27.36381651922286,36.00872566380327,36.30586805624073,35.6270591177479,-2.3980222636289765,-1.9140131932616158,-3.102035456890593,True,True,True,-1.21,-1.21,-1.21
41,8.15,15.09678326388241,15.014570020871062,14.95194017782164,4.272614663873071,3.7685238339537843,3.5881559201174094,0.439,0.3778567623985157,0.3566174541307336,4.64,4.64,4.64,33.03479636560531,32.18336531616358,31.807570094478184,20.66967183040083,20.74478948438539,20.772108736281446,-1.2796764321920082,-1.132447827802189,-1.083371626338916,False,False,False,-0.2,-0.2,-0.2
