site_spp,A(std),A(therm),A(pmax),E(std),E(therm),E(pmax),gs(std),gs(therm),gs(pmax),gb(std),gb(therm),gb(pmax),Ci(std),Ci(therm),Ci(pmax),Tleaf(std),Tleaf(therm),Tleaf(pmax),Pleaf(std),Pleaf(therm),Pleaf(pmax),k(therm),k(pmax),Rublim(std),Rublim(therm),Rublim(pmax),VPD,Ps,Tair,hod,gs,gb,Pleaf
E_crebra_VarEnv,3.772764669373496,13.575488150522576,13.575488150522576,0.7080246193294282,3.3764135696315787,3.3764135696315787,0.017374482239828667,0.1411996435126556,0.1411996435126556,0.658186118964899,0.4520324799500064,0.4520324799500064,14.732500640264174,30.58419926628187,30.58419926628187,34.43684657913506,30.697156436501327,30.697156436501327,-1.4796020808236163,-3.3380601440151287,-3.3380601440151287,1.303675848708005,1.303675848708005,True,False,False,3,-1.0,30,12,0.1,0,-2
E_crebra_VarEnv,1.6579802890461748,12.722396641325915,12.722396641325915,0.3373851601964293,3.607020786119935,3.607020786119935,0.007469006345583981,0.1545793672604529,0.1545793672604529,0.6772942578283563,0.4470322223795812,0.4470322223795812,14.418413535390382,33.012319109871996,33.012319109871996,37.25876871123587,32.642017859747014,32.642017859747014,-1.2398010404118078,-3.517910924323985,-3.517910924323985,1.259789949618761,1.259789949618761,True,False,False,3,-1.0,32,12,0.1,0,-2
E_crebra_VarEnv,0.3541869773200268,10.770966870529321,10.770966870529321,0.07793009641962294,3.492703731385214,3.492703731385214,0.00156526632229612,0.14061178678126227,0.14061178678126227,0.6907490238883938,0.4421203256974248,0.4421203256974248,14.021479983012831,34.418264371114105,34.418264371114105,39.95577497315278,35.0471773893516,35.0471773893516,-1.059950260102952,-3.427985534169557,-3.427985534169557,1.2824548559745534,1.2824548559745534,True,False,False,3,-1.0,34,12,0.1,0,-2
E_crebra_VarEnv,0.3222134540014139,8.989886946673863,8.989886946673863,0.08242212508185197,3.64466548421832,3.64466548421832,0.0015323254902616535,0.14588329577024106,0.14588329577024106,0.6963320596592533,0.4372946556296847,0.4372946556296847,16.65634110566639,37.2999961426207,37.2999961426207,42.24788532739531,37.1421698684076,37.1421698684076,-1.059950260102952,-3.5478860543754616,-3.5478860543754616,1.2519118185668372,1.2519118185668372,True,False,False,3,-1.0,36,12,0.1,0,-2
E_crebra_VarEnv,-0.01037138972915008,6.886079136336285,6.886079136336285,1e-17,3.7561486879653336,3.7561486879653336,1e-17,0.1470287740122736,0.1470287740122736,0.6977379164152082,0.4325531430475559,0.4325531430475559,16.886555250109275,40.236246729636115,40.236246729636115,44.77035447794279,39.31635836846775,39.31635836846775,-1.0,-3.6378114445298895,-3.6378114445298895,1.2273050305860378,1.2273050305860378,True,False,False,3,-1.0,38,12,0.1,0,-2
E_crebra_VarEnv,-0.02614742616950649,4.849769479388668,4.849769479388668,1e-17,3.865353580950713,3.865353580950713,1e-17,0.14680263030333726,0.14680263030333726,0.7004231467332758,0.4278937815706803,0.4278937815706803,19.452298021819825,43.01029244665357,43.01029244665357,47.17956378794671,41.52163895390952,41.52163895390952,-1.0,-3.727736834684317,-3.727736834684317,1.2012416930813528,1.2012416930813528,True,False,False,3,-1.0,40,12,0.1,0,-2
E_crebra_VarEnv,-0.02757869251699313,3.056454076098612,3.056454076098612,1e-17,3.865353580950713,3.865353580950713,1e-17,0.13734644123057585,0.13734644123057585,0.7036979142457604,0.4233146252735007,0.4233146252735007,22.485831296165617,45.25179096748214,45.25179096748214,49.6364578982029,43.895486369634895,43.895486369634895,-1.0,-3.727736834684317,-3.727736834684317,1.2012416930813528,1.2012416930813528,True,False,False,3,-1.0,42,12,0.1,0,-2
E_crebra_VarEnv,-0.018652876260816357,1.8064582274761862,1.8064582274761862,1e-17,3.901226322485788,3.901226322485788,1e-17,0.1298754178916066,0.1298754178916066,0.7075126585971958,0.4188137864895168,0.4188137864895168,26.089702328928016,46.952226444640885,46.952226444640885,52.14428533595066,46.26145568359991,46.26145568359991,-1.0,-3.7577119647357935,-3.7577119647357935,1.192231893108344,1.192231893108344,True,True,True,3,-1.0,44,12,0.1,0,-2
E_crebra_VarEnv,-0.01252613813419684,1.1054570017100622,0.985274067902868,1e-17,4.211252696612176,3.901226322485788,1e-17,0.14025904626523622,0.1196358672770641,0.7118167515100099,0.4143894337086749,0.4143894337086749,30.39297238446453,48.19356366105258,48.1275894095337,54.7063901495384,48.29830950850154,48.71998987190542,-1.0,-4.027488135199079,-3.7577119647357935,1.10407541081748,1.192231893108344,True,True,True,3,-1.0,46,12,0.1,0,-2
E_crebra_VarEnv,-0.008366745304471998,0.7820801991668743,0.517370130548902,1e-17,5.131283312374845,3.9721496142866712,1e-17,0.2012108954690816,0.11355905810612801,0.7165596770446886,0.4100397895633818,0.4100397895633818,35.558235176378346,49.018399614945714,48.892641611071575,57.32621566299111,49.67347065433464,51.125192520374526,-1.0,-5.046642556949261,-3.8176622248387457,0.6850967258633405,1.1737332114064452,True,True,True,3,-1.0,48,12,0.1,0,-2
