site_spp,A(const),E(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,1.419253946212916,0.5444071452669854,4.64,17.343131559475697,36.61816410684786,-1.5587142259080142,True,-1.4,1501.0,35.075,4.97,100.3,39.735612,20,18.9333333333333,5.5725,2.755,20.44231875,0.054175,4.64,-3.5,36.495
Richmond_Eucalyptus_cladocalyx,1.4215754707232784,0.4917269212474821,4.64,17.23730950616816,36.483813100531066,-1.3627343264105267,True,-1.2,1501.25,34.8725,4.4225,100.3,39.66645769,20,19.1166666666667,4.7825,6.865,31.917375,0.155,4.64,-3.05,35.5075
Richmond_Eucalyptus_cladocalyx,1.4273006583647228,0.4792323909550426,4.64,17.17510938654979,36.385415441074855,-1.3627343264105267,True,-1.2,1501.0,34.76,4.295,100.3,39.69457538,20,19.2,5.6125,6.67,31.18276875,0.1555,4.64,-2.95,35.1125
Richmond_Eucalyptus_cladocalyx,1.7982638047433372,0.09815615311037873,4.64,10.554056461501805,21.799489940283863,-0.7431961444167021,True,-0.7,499.0,21.3025,0.922,101.7,39.32043281,41,8.83333333333333,11.225,3.0925,33.36125625,0.3595,4.64,-2.3,22.44
Richmond_Eucalyptus_cladocalyx,1.7983714183824289,0.11235936036195178,4.64,10.55741562137822,21.803568540608506,-0.7431961444167021,True,-0.7,498.0,21.3275,1.07,101.7,39.32549906,41,8.91666666666667,10.6775,3.505,33.46258125,0.35025,4.64,-1.5,22.6725
Richmond_Eucalyptus_cladocalyx,1.8119668289973097,0.10377734147336323,4.64,10.582722469144649,21.783999533685574,-0.7929448881352951,True,-0.75,500.75,21.2925,0.98125,101.8,39.59679675,41,9.03333333333333,9.9,3.4,34.42516875,0.37225,4.64,-2.1,22.4525
Richmond_Eucalyptus_cladocalyx,1.8172445754615936,0.09874639701911096,4.64,10.538994260420017,21.659209033905434,-0.7929448881352951,True,-0.75,502.0,21.16,0.92925,101.8,39.63758006,41,9.11666666666667,8.5425,3.515,35.46375,0.4105,4.64,-1.5,22.12
Richmond_Eucalyptus_cladocalyx,1.8188794484211,0.0989137606838463,4.64,10.518393564093412,21.594204457187306,-0.7929448881352951,True,-0.75,499.0,21.1,0.932,101.8,39.64315294,41,9.26666666666667,8.555,3.1875,35.05845,0.36775,4.64,-2.1,22.035
Richmond_Eucalyptus_cladocalyx,1.8248783599806744,0.10448909177779493,4.64,10.496565152621653,21.510877825312924,-0.7929448881352951,True,-0.75,499.0,21.025,0.9905,101.8,39.7173735,41,9.33333333333333,6.5425,2.66,35.18510625,0.28325,4.64,-1.8,22.2125
Richmond_Eucalyptus_cladocalyx,1.7163643640404962,0.17717123347869726,4.64,11.912921622875205,25.99988913843817,-0.7431961444167021,True,-0.7,1800.5,23.7225,1.3775,101.7,39.37058869,41,10.7,12.2,4.9925,33.133275,0.38925,4.64,-2.3,26.2275
Richmond_Eucalyptus_cladocalyx,1.7154737524443602,0.17708272460859556,4.64,12.002265372260315,26.194893851678724,-0.7431961444167021,True,-0.7,1800.5,23.915,1.37,101.6,39.41871806,41,10.783333333333301,12.075,5.135,33.43725,0.4035,4.64,-2.25,26.3875
Richmond_Eucalyptus_cladocalyx,1.697468784250591,0.18877454857953524,4.64,12.250603933878017,26.763767090379897,-0.7929448881352951,True,-0.75,1799.5,24.495,1.48,101.7,39.40605244,41,10.9,11.3,4.7625,32.8293,0.341,4.64,-2.7,27.0275
Richmond_Eucalyptus_cladocalyx,1.6992695498382084,0.18249465047797184,4.64,12.292334769784247,26.848244039323173,-0.7929448881352951,True,-0.75,1801.0,24.5675,1.41,101.6,39.4498755,41,10.983333333333302,11.625,4.665,32.8799625,0.35125,4.64,-2.55,26.9925
Richmond_Eucalyptus_cladocalyx,1.7119359787488615,0.1803831726492199,4.64,12.08589585505525,26.37924361139966,-0.7929448881352951,True,-0.75,1800.0,24.1025,1.4,101.6,39.4458225,41,11.15,11.025,4.97,33.5892375,0.3795,4.64,-2.75,26.5625
Richmond_Eucalyptus_cladocalyx,1.7218898525531852,0.17813067878164887,4.64,11.937235167807556,26.03343656081348,-0.7929448881352951,True,-0.75,1800.0,23.7575,1.385,101.6,39.45620831,41,11.233333333333302,9.7675,5.005,34.24785,0.387,4.64,-2.5,26.1175
Richmond_Eucalyptus_cladocalyx,1.5812692915529984,0.22328031185623706,4.64,14.195469175472171,30.992584536851158,-0.7863922888334041,True,-0.7,1800.0,28.71,1.715,101.4,39.41770481,41,13.733333333333302,9.46,5.8875,33.8932125,0.36225,4.64,-3.35,30.5625
Richmond_Eucalyptus_cladocalyx,1.5835640892077474,0.22397310634622936,4.64,14.236378499187607,31.05625789332723,-0.7863922888334041,True,-0.7,1800.75,28.7725,1.72,101.4,39.49521844,41,13.85,9.66,5.805,33.7918875,0.35475,4.64,-3.3,30.7675
Richmond_Eucalyptus_cladocalyx,1.576694260148655,0.2314081393808003,4.64,14.396604095558386,31.377202326888952,-0.8358897762705899,True,-0.75,1801.25,29.0975,1.7875,101.4,39.54588094,41,13.966666666666699,8.805,5.7725,34.01986875,0.339,4.64,-2.95,31.2475
Richmond_Eucalyptus_cladocalyx,1.5755926451002569,0.23398481178886216,4.64,14.344774922433276,31.288968390764786,-0.8358897762705899,True,-0.75,1800.75,29.015,1.8175,101.4,39.47647331,41,14.066666666666698,9.505,5.41,33.133275,0.31,4.64,-3.15,31.3625
Richmond_Eucalyptus_cladocalyx,1.5671129051923045,0.2330879882634105,4.64,14.519017150626993,31.64053880698703,-0.8358897762705899,True,-0.75,1798.5,29.3625,1.7975,101.4,39.51548344,41,14.2,8.2825,5.9875,34.349175,0.34975,4.64,-3.05,31.4475
Richmond_Eucalyptus_cladocalyx,1.5542516260204589,0.2325884377364768,4.64,14.685877490075343,31.997129921656562,-0.8358897762705899,True,-0.75,1800.0,29.71,1.78,101.4,39.47723325,41,14.283333333333301,10.375,6.3225,33.61456875,0.3745,4.64,-3.25,31.6325
Richmond_Eucalyptus_cladocalyx,1.5548339202606352,0.2660363896892399,4.64,14.68146463725606,32.00535571569559,-0.7863922888334041,True,-0.7,1800.5,29.7625,2.125,101.2,39.43315688,41,16.3833333333333,10.6,6.0375,32.04403125,0.2955,4.64,-3.07,31.17
Richmond_Eucalyptus_cladocalyx,1.5645400649690984,0.25504879872134545,4.64,14.624481920983554,31.85919479877262,-0.7863922888334041,True,-0.7,1799.75,29.605,2.015,101.2,39.53068219,41,16.45,8.51,6.8575,34.22251875,0.358,4.64,-3.15,30.7725
Richmond_Eucalyptus_cladocalyx,1.5419291577551142,0.27381478617297145,4.64,14.755666657322507,32.19638478708682,-0.8358897762705899,True,-0.75,1801.0,29.96,2.2,101.2,39.301941,41,16.6166666666667,12.4,6.2025,30.8028,0.2925,4.64,-3.15,31.2275
Richmond_Eucalyptus_cladocalyx,1.5444181520711942,0.2951874950574661,4.64,14.95109941153222,32.534849424638914,-0.8358897762705899,True,-0.75,1800.0,30.3225,2.41,101.1,39.512697,41,16.766666666666698,9.88,7.37,32.7786375,0.3185,4.64,-3.15,32.265
Richmond_Eucalyptus_cladocalyx,1.538957175840724,0.2949668469452448,4.64,15.171520886914713,32.9293920221191,-0.8358897762705899,True,-0.75,1799.75,30.71,2.3975,101.2,39.67051069,41,16.9166666666667,7.7775,4.9775,32.0693625,0.2115,4.64,-3.1,31.905
Richmond_Eucalyptus_cladocalyx,1.8955969332159528,0.07199146209069163,4.64,8.724687821245299,15.847339631863846,-1.0416886067282598,True,-1.0,399.0,15.4925,0.69825,102.4,39.25659806,57,8.96666666666667,16.7,2.8225,32.322675,0.447,4.64,-1.95,16.6325
Richmond_Eucalyptus_cladocalyx,1.8967224150624933,0.07164094906183133,4.64,8.738476683667281,15.882972568618968,-1.0416886067282598,True,-1.0,399.0,15.5275,0.6945,102.4,39.28851544,57,9.05,15.725,2.69,32.4746625,0.4265,4.64,-1.6,16.695
Richmond_Eucalyptus_cladocalyx,1.867352677491663,0.08129149583507987,4.64,9.049140900796383,17.05984267875274,-1.1809850891403202,True,-1.14,399.0,16.7125,0.79175,102.4,39.12614212,57,9.35,17.05,2.975,31.48674375,0.41175,4.64,-2.35,17.705
Richmond_Eucalyptus_cladocalyx,1.877321098103152,0.07439523697637222,4.64,8.884280399948858,16.489258515474848,-1.230733832858913,True,-1.19,399.0,16.135,0.7215,102.4,39.12183581,57,9.43333333333333,16.9,2.95,32.14535625,0.45225,4.64,-1.7,17.345
Richmond_Eucalyptus_cladocalyx,1.882201515961324,0.07075032275755266,4.64,8.911554996074106,16.533443664643226,-0.7,True,-0.7,398.25,16.175,0.6835,102.4,39.22772044,57,9.56666666666667,16.85,3.1725,33.10794375,0.5205,4.64,-2.7,17.3175
Richmond_Eucalyptus_cladocalyx,1.876269330036372,0.07089565535828249,4.64,8.959983900425641,16.723752032405464,-0.7,True,-0.7,398.0,16.365,0.6845,102.4,39.18060431,57,9.68333333333333,16.25,3.2275,33.335925,0.5295,4.64,-2.1,17.49
Richmond_Eucalyptus_cladocalyx,1.7609274804719397,0.1265509257668717,4.64,10.50734694793227,22.458114378546508,-1.0416886067282598,True,-1.0,1001.0,21.2825,1.11,102.4,38.87080313,57,11.65,23.275,4.7925,29.6375625,0.47525,4.64,-2.88,22.7275
