doy,hod,A(const),E(const),gs(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps(const)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
57,8.966666667,1.8955969332159528,0.07199146209069163,0.01,4.64,8.724687821245297,15.847339631863846,-1.0416886067282598,True,-1.0
57,9.05,1.8967224150624933,0.07164094906183133,0.01,4.64,8.738476683667283,15.882972568618968,-1.0416886067282598,True,-1.0
57,9.35,1.8673526774916627,0.08129149583507987,0.01,4.64,9.049140900796385,17.05984267875274,-1.18098508914032,True,-1.14
57,9.433333333,1.8773210981031516,0.07439523697637222,0.01,4.64,8.88428039994886,16.489258515474845,-1.230733832858913,True,-1.19
57,9.566666667,1.8822015159613241,0.07075032275755266,0.01,4.64,8.911554996074106,16.533443664643226,-0.7,True,-0.7
57,9.683333333,1.8762693300363722,0.07089565535828249,0.01,4.64,8.959983900425641,16.723752032405464,-0.7,True,-0.7
57,11.65,1.7609274804719395,0.1265509257668717,0.01,4.64,10.50734694793227,22.458114378546508,-1.0416886067282598,True,-1.0
57,11.73333333,1.749856393847567,0.1308452994295938,0.01,4.64,10.477193149891846,22.44779517941177,-1.0416886067282598,True,-1.0
57,11.86666667,1.7510787987159993,0.13047611996453043,0.01,4.64,10.542358540867856,22.591308194141295,-1.1511358429091645,True,-1.11
57,11.95,1.7577910653154414,0.12986122858963708,0.01,4.64,10.561805704435397,22.606282253548162,-1.2207840841151945,True,-1.18
57,12.03333333,1.7523970771220703,0.13316071268627813,0.01,4.64,10.610239085592191,22.751249577418132,-1.1909348378840385,True,-1.15
57,12.25,1.677459520466405,0.12507009412844952,0.01,4.64,11.730798870886815,25.52984979290172,-0.743196144416702,True,-0.7
57,12.35,1.6652639406495162,0.12268038927881449,0.01,4.64,12.127872011204616,26.379248993041426,-0.743196144416702,True,-0.7
57,14.06666667,1.6818336873707127,0.19282614538455142,0.01,4.64,12.028893295057852,26.35467806005689,-1.0416886067282598,True,-1.0
57,14.15,1.6535920171118836,0.18942995901448872,0.01,4.64,12.055846391695273,26.540439375364944,-1.0416886067282598,True,-1.0
57,14.3,1.653322101881276,0.20109747251826424,0.01,4.64,12.207092750616471,26.841827036125895,-1.2207840841151945,True,-1.18
57,14.36666667,1.643954407820966,0.19842880147147227,0.01,4.64,12.217442808598541,26.905905106593046,-0.8526433805976066,True,-0.81
57,14.51666667,1.6630149687880893,0.20590988437906246,0.01,4.64,12.231284755335107,26.844856015455303,-0.743196144416702,True,-0.7
57,14.58333333,1.6513615644518786,0.19281377324467627,0.01,4.64,12.164861000336671,26.767368377108347,-0.743196144416702,True,-0.7
57,16.11666667,1.6593039054645549,0.21121761816635054,0.01,4.64,12.397347853009869,27.156487759145545,-1.0833772134565196,True,-1.0
57,16.25,1.640201301993378,0.20156159799219894,0.01,4.64,12.379018455831428,27.208992552276108,-1.0914373504468529,True,-1.05
57,16.31666667,1.647394425629767,0.2009056948291238,0.01,4.64,12.354670156177868,27.12818295016406,-1.210834335371476,True,-1.17
57,16.51666667,1.651062310957677,0.21160805085819687,0.01,4.64,12.409370505288653,27.218136500721606,-0.743196144416702,True,-0.7
77,9.916666667000001,1.830944353067045,0.08932818000135015,0.01,4.64,9.249980183768589,18.809165568564133,-0.6436986569795161,True,-0.6
77,9.983333333,1.8212948593460463,0.09372103935213963,0.01,4.64,9.174745287467495,18.654717333265676,-0.6436986569795161,True,-0.6
77,10.13333333,1.83830603945094,0.10346338979410503,0.01,4.64,9.30703736189216,18.912551240371048,-0.8924423755724809,True,-0.85
77,10.2,1.8177668762084207,0.09682546390183601,0.01,4.64,9.323227661547303,19.09279332749701,-0.8924423755724809,True,-0.85
77,10.36666667,1.8409661576254428,0.09857653103029324,0.01,4.64,9.286988925573983,18.837824459350102,-0.5442011695423301,True,-0.5
77,10.43333333,1.8195610306415144,0.10205774461793247,0.01,4.64,9.634998178084725,19.943589484693618,-0.5442011695423301,True,-0.5
77,11.78333333,1.716891947855247,0.17733626992473783,0.01,4.64,11.172377037093451,24.387134610934208,-0.6436986569795161,True,-0.6
77,11.86666667,1.6856344599033735,0.18996789534314498,0.01,4.64,11.470104159222693,25.17285114236124,-0.6436986569795161,True,-0.6
77,12.01666667,1.6651953590475108,0.19643887658497358,0.01,4.64,11.681666678107309,25.709202376032554,-0.8924423755724809,True,-0.85
77,12.1,1.6544056895465047,0.18339636328008255,0.01,4.64,11.765325025472126,25.931435394089892,-0.8924423755724809,True,-0.85
77,12.21666667,1.6571594243619534,0.18300067487114366,0.01,4.64,11.748377913505688,25.883614285369063,-0.5442011695423301,True,-0.5
77,12.28333333,1.6851003973338539,0.19346225082402804,0.01,4.64,11.814948046803874,25.89702334244219,-0.5442011695423301,True,-0.5
77,14.58333333,1.5066267659984673,0.28511116818035576,0.01,4.64,14.740984566184686,32.26312790928331,-0.6873973139590321,True,-0.6
77,14.78333333,1.4862734295730682,0.26452652461752985,0.01,4.64,14.647014935710796,32.19264062739555,-0.9348847511449618,True,-0.85
77,14.93333333,1.5020705595134793,0.269557518313751,0.01,4.64,14.662846219011477,32.145962978401776,-0.5884023390846603,True,-0.5
