doy,hod,A(const),E(const),gs(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps(const)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
20,13.26666667,1.5360652921084528,0.3403076955391804,0.01,4.64,15.254951920427537,32.75513933577832,-1.298001649157702,True,-1.21
20,15.03333333,1.4259798726595763,0.41289335114831766,0.01,4.64,17.249572932152866,36.531704667191136,-0.9416197396099633,True,-0.85
20,15.15,1.4537418767399024,0.4276449627521211,0.01,4.64,16.963711713495552,36.01183740969253,-0.9416197396099633,True,-0.85
20,15.53333333,1.456126382497383,0.4724307539155578,0.01,4.64,16.97908567301762,36.02372313931916,-1.342002473736553,True,-1.21
20,15.63333333,1.451350465503701,0.4488512484212586,0.01,4.64,16.98755287098183,36.06385633749226,-1.342002473736553,True,-1.21
20,17.75,1.4292679240956956,0.5833476883696707,0.01,4.64,17.257882154185097,36.53611765498719,-1.342002473736553,True,-1.21
20,18.08333333,1.435971279277356,0.5959549989330971,0.01,4.64,17.419384080671033,36.660330451292594,-1.0859220717265026,True,-0.95
20,18.16666667,1.4289933443271106,0.5954571717435867,0.01,4.64,17.416383896231817,36.68596153264166,-1.0859220717265026,True,-0.95
20,18.31666667,1.4255686858755905,0.5569268738333213,0.01,4.64,17.383935720715193,36.657567697229915,-1.342002473736553,True,-1.21
20,18.45,1.4246480822729084,0.579476130188244,0.01,4.64,17.391377751313282,36.67177911634472,-1.342002473736553,True,-1.21
41,8.15,1.7790983113258525,0.11672303716556788,0.01,4.64,10.51385809112239,21.343232569070622,-0.2490762014632731,True,-0.2
41,8.233333333,1.778763370517836,0.10429957755131793,0.01,4.64,10.544785554446847,21.414434694732872,-0.2490762014632731,True,-0.2
41,8.366666667,1.8247298914655927,0.11581211686579539,0.01,4.64,10.63047647306632,21.372194504250004,-0.19932745774468014,True,-0.15
41,8.433333333,1.8015691932942017,0.10423114025703406,0.01,4.64,10.561968134490701,21.336071495376494,-0.19932745774468014,True,-0.15
41,8.566666667,1.7948994890510905,0.09335437781308381,0.01,4.64,10.553644108396853,21.355457992646496,-0.35,True,-0.35
41,8.65,1.795015455229672,0.08853434967591846,0.01,4.64,10.563942635446232,21.377255501610964,-0.35,True,-0.35
41,9.983333333,1.6753450548991173,0.16179194002042274,0.01,4.64,11.81618199179215,25.46923146930775,-0.2490762014632731,True,-0.2
41,10.06666667,1.6691716314676113,0.1703667993392882,0.01,4.64,11.901758101545358,25.66560995517851,-0.2490762014632731,True,-0.2
41,10.23333333,1.740633317100305,0.20441913378393392,0.01,4.64,12.061434535757748,25.669528664452358,-0.19932745774468014,True,-0.15
41,10.31666667,1.717245696163475,0.17175407092269837,0.01,4.64,11.988681847903354,25.62792891776959,-0.19932745774468014,True,-0.15
41,10.45,1.6681752755310097,0.16010409120921593,0.01,4.64,11.947059701433687,25.759648893951482,-0.398322432619052,True,-0.35
41,10.56666667,1.6832755056472428,0.16474751614300825,0.01,4.64,11.97615059555881,25.759122265499467,-0.398322432619052,True,-0.35
41,12.93333333,1.550717163584797,0.22926009775208392,0.01,4.64,14.293360388795588,30.737072107692683,-0.2490762014632731,True,-0.2
41,13.03333333,1.5320576305914462,0.21222488776031476,0.01,4.64,14.190792891133288,30.638340640702275,-0.2490762014632731,True,-0.2
41,13.16666667,1.5522613992894785,0.22693104924569932,0.01,4.64,14.349607241415999,30.846601657721575,-0.19932745774468014,True,-0.15
41,13.3,1.5521430051820797,0.23674286697319918,0.01,4.64,14.356573938826404,30.86018890133952,-0.19932745774468014,True,-0.15
41,13.46666667,1.5377305080480377,0.20863829227715522,0.01,4.64,14.20898099264381,30.646969749614517,-0.398322432619052,True,-0.35
41,13.56666667,1.536989102126738,0.21249459690632266,0.01,4.64,14.214984592187136,30.661573282943092,-0.398322432619052,True,-0.35
41,15.63333333,1.40133551210071,0.2795890033269366,0.01,4.64,16.537285253242793,35.51444612539923,-0.2490762014632731,True,-0.2
41,15.73333333,1.4743493523635345,0.26978006038273933,0.01,4.64,15.535053125514942,33.44703547576939,-0.2490762014632731,True,-0.2
41,15.86666667,1.5282835079248027,0.2793659695492438,0.01,4.64,15.457000315393365,33.04723127397307,-0.19932745774468014,True,-0.15
