site_spp,A(driv),A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(driv),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(driv),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(driv),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std_gmin),gmin(pmax_gmin),Ci(driv),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(driv),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(driv),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(pmax),k(pmax_gmin),Rublim(driv),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),PPFD,VPD,Patm,Tref,Ps,Tair,CO2,doy,hod,E,gs,gb,Pleaf,Tleaf
E_fibrosa_HW2,4.853805791068415,13.544221021801407,18.19064551032259,20.63162245431356,20.63162245431356,0.8234580919662318,2.6483597190735986,5.24700270515179,10.812838622243634,10.812838622243634,0.0233355,0.07640283910982767,0.15535824888770045,0.3392971981839343,0.3392971981839343,2.9213465,2.9213465,2.9213465,2.9213465,2.9213465,0.0018295585378534235,0.0018295585378534235,13.251161028493831,17.745805597653142,27.143271444340623,35.9835456392271,35.9835456392271,34.6775,34.6775,34.6775,34.6775,34.6775,-0.9721957503093844,-1.342685126082845,-1.8613702521656896,-3.0098873170634173,-3.0098873170634173,4.797336359677153,4.797336359677153,True,False,False,False,False,1136.25,3.62063575,101.79,34.4,-0.8240000000000001,36.44,46.72161,312,11.64326389,0.93517325,0.0233355,2.9213465,-2.09,34.6775
E_fibrosa_HW2,7.572983809402237,8.732396260219955,9.788115517006542,11.181992278893981,11.181992278893981,0.8776985335275335,1.1316499873932493,1.7146795994620694,7.144618108984822,7.144618108984822,0.045546333,0.058990769970997226,0.09032283999503504,0.4172074701215617,0.4172074701215617,2.920826833,2.920826833,2.920826833,2.920826833,2.920826833,0.0015704069936683669,0.0015704069936683669,22.301338043533544,25.119055508489517,31.31300844078692,44.04261699275351,44.04261699275351,26.3,26.3,26.3,26.3,26.3,-0.8825110195450219,-0.920213223454026,-1.033319835181039,-2.126683748542165,-2.126683748542165,4.95334298900986,4.95334298900986,False,False,False,False,False,352.6666667,1.9622161669999998,100.2616667,25.44,-0.6940000000000001,24.81,48.82743167,306,11.29796296,0.9018815,0.045546333,2.920826833,-2.164,26.3
E_fibrosa_HW2,7.217470409946046,10.070863251131124,13.232957245416653,14.987711755071544,14.987711755071544,1.0655665853511929,1.5699152807848664,3.212419134738761,8.589236895473531,8.589236895473531,0.033638,0.04983092840972847,0.10381851837354086,0.2951398183908888,0.2951398183908888,2.921585,2.921585,2.921585,2.921585,2.921585,0.001836325773730422,0.001836325773730422,17.51036884375241,19.369576942389017,31.164845117024498,43.31713939486045,43.31713939486045,34.88,34.88,34.88,34.88,34.88,-1.0976956355143277,-1.2080434532714914,-1.5023043006239285,-2.6057824781955663,-2.6057824781955663,4.889526162896383,4.889526162896383,False,False,False,False,False,529.5,3.2663005000000003,101.9375,34.1125,-0.877,35.53,52.192,311,11.41291667,1.0997385,0.033638,2.921585,-2.636,34.88
E_fibrosa_HW2,9.936852036731784,13.381306217133787,19.20315759588281,21.59146100599157,21.59146100599157,1.3431434305680001,1.8069216890278,4.0434406985569336,8.43296145340683,8.43296145340683,0.04600175,0.06222419222410928,0.14301288160448855,0.31500842434677084,0.31500842434677084,2.92114375,2.92114375,2.92114375,2.92114375,2.92114375,0.0017657359607771317,0.0017657359607771317,17.126859095525926,17.115630331100732,29.750545991458196,40.10830309091496,40.10830309091496,32.73,32.73,32.73,32.73,32.73,-1.2531516082675531,-1.361645154667933,-1.7956193402694525,-2.6997322269392847,-2.6997322269392847,4.871701857886749,4.871701857886749,True,False,False,False,False,1076.25,3.0194259999999997,101.81,32.745,-1.0,34.13,52.12672,312,11.36673611,1.3649434999999999,0.04600175,2.92114375,-2.29,32.73
E_fibrosa_HW2,7.698129524365338,8.679506295606098,9.152613975649622,10.087405020163649,10.087405020163649,1.1336142448574666,1.5915315361169633,2.123311381805548,8.729215785366465,8.729215785366465,0.055901,0.079093351523916,0.10648431313690228,0.4937740676992967,0.4937740676992967,2.92093675,2.92093675,2.92093675,2.92093675,2.92093675,0.0016033158555515035,0.0016033158555515035,23.58846311185605,27.947632760425034,31.670432670022308,41.90005393626722,41.90005393626722,27.4375,27.4375,27.4375,27.4375,27.4375,-0.6893891028510111,-0.7671854704680148,-0.8838800218935202,-2.2064182713825833,-2.2064182713825833,4.94543724243409,4.94543724243409,False,False,False,False,False,300.5,2.07259625,100.285,29.2525,-0.456,25.87,45.629675,306,12.13854167,1.1721555000000001,0.055901,2.92093675,-1.722,27.4375
E_fibrosa_HW2,3.07061538791403,3.2321840239932005,3.417133752027735,3.8449299471557215,3.8449299471557215,0.6713563369461975,0.7600822113594214,1.019023047494969,8.475605901823721,8.475605901823721,0.0287675,0.032611815731121686,0.04388869526499038,0.4101086658751557,0.4101086658751557,2.922297,2.922297,2.922297,2.922297,2.922297,0.0017529055337418909,0.0017529055337418909,28.316781107457466,29.529133707443155,32.918988703160274,43.806441190929824,43.806441190929824,32.33,32.33,32.33,32.33,32.33,-0.4564734458978673,-0.4959645945304897,-0.5354557431631122,-2.0361193912027646,-2.0361193912027646,4.961231624324867,4.961231624324867,False,False,False,False,False,130.0,2.40054025,101.86,35.655,-0.33799999999999997,39.92,45.531420000000004,311,12.23354167,0.695457,0.0287675,2.922297,-1.946,32.33
E_fibrosa_HW2,10.78718248266171,14.149341591790169,19.079705120168253,21.31698353626145,21.31698353626145,2.0429433522216964,2.7374786951566983,5.581432301596495,10.825827700881577,10.825827700881577,0.05594325,0.0754533965692296,0.15808346222581565,0.3230466981989721,0.3230466981989721,2.92130925,2.92130925,2.92130925,2.92130925,2.92130925,0.001864325643297048,0.001864325643297048,17.932018106043135,18.61783184481996,29.060793089738674,37.65967307567785,37.65967307567785,35.71,35.71,35.71,35.71,35.71,-1.223980524406083,-1.3723370787355678,-1.928674157471136,-3.0042591763599,-3.0042591763599,4.7989182982109115,4.7989182982109115,True,False,False,False,False,1286.25,3.787156,101.7575,35.2825,-0.816,36.55,49.25063,312,12.19236111,2.03266,0.05594325,2.92130925,-2.211,35.71
E_fibrosa_HW2,5.452215353435314,14.55580224351887,17.36380174098429,19.851102204903707,19.851102204903707,0.8211977523002129,2.843254429815665,4.627734414156488,10.706423205845097,10.706423205845097,0.0282735,0.10028164783925783,0.16681383875710426,0.4172200263870293,0.4172200263870293,2.92164075,2.92164075,2.92164075,2.92164075,2.92164075,0.0017177873243903333,0.0017177873243903333,14.211710719045234,21.29185323754118,27.62508527917243,36.38505899199631,36.38505899199631,31.22,31.22,31.22,31.22,31.22,-0.8144319312139068,-1.2308697420521506,-1.5715915872834412,-2.8209050197981727,-2.8209050197981727,4.8456297564317685,4.8456297564317685,True,False,False,False,False,1196.25,2.9410905,100.29,29.2275,-0.6629999999999999,26.91,44.82963,306,12.21736111,0.83077475,0.0282735,2.92164075,-0.9890000000000001,31.22
E_fibrosa_HW2,2.5314519226468883,-0.17780197979207354,2.6768740982433474,3.9209414687860717,3.9209414687860717,0.47315486273625107,1e-17,0.482543639123762,3.9139558654343514,3.9139558654343514,0.01661775,1e-17,0.01694940793082594,0.1433944142842483,0.1433944142842483,2.9213240000000003,2.9213240000000003,2.9213240000000003,2.9213240000000003,2.9213240000000003,0.0018019986896154433,0.0018019986896154433,22.579581835268307,4.812536380987144,21.67717058406828,42.464800983076906,42.464800983076906,33.845,33.845,33.845,33.845,33.845,-2.67649354640038,-2.592,-2.7046580618671734,-3.408770948537005,-3.408770948537005,4.659948300880641,4.659948300880641,False,True,False,False,False,134.25,2.9168865000000004,101.865,35.8075,-2.592,40.44,47.06163,311,12.155625,0.49219075,0.01661775,2.9213240000000003,-3.033,33.845
E_fibrosa_HW2,6.383175200369239,3.581095642392897,15.719886498758793,18.912527489811,18.912527489811,1.0628689364822066,0.5012391967915182,3.5709596479650934,7.779194120396878,7.779194120396878,0.032639499999999995,0.015302181148137856,0.11262840855910893,0.2570299284713856,0.2570299284713856,2.922464,2.922464,2.922464,2.922464,2.922464,0.001805945524076272,0.001805945524076272,13.12585075017309,7.113600060147557,21.6245393445046,31.97733530227537,31.97733530227537,33.965,33.965,33.965,33.965,33.965,-1.7019117159163375,-1.6009558579581689,-2.2066910057071816,-3.081641774677978,-3.081641774677978,4.776351548206856,4.776351548206856,False,True,False,False,False,751.5,3.35071,101.76,35.46,-1.5,36.71,44.67264,312,12.09972222,1.0924365,0.032639499999999995,2.9224639999999997,-2.83,33.965
E_moluccana_HW2,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-0.030026,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,0.001666348830280923,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,False,0.0,0.0,9999.0,9999.0,704.0,2.67310075,100.26,26.4825,,25.18,46.1196,306,11.37555556,-0.84421775,-0.030026,2.92188275,,29.5525
